tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.18404121696949005,-0.12541633983059497,0,-0.00791508997060351,0.6311051639120346
2,align,0.18344566226005554,-0.12529251532667143,0,-0.00789058587506523,0.6297731236772077
3,align,0.18262270092964172,-0.12464644548207449,0,-0.0078268754579462,0.6279260854712291
4,align,0.18180184066295624,-0.1240858683522044,0,-0.007768715053517158,0.6260757293865644
5,align,0.18098480999469757,-0.12351117551615844,0,-0.007709880010814801,0.6242252960993112
6,align,0.18017324805259705,-0.12296836902373495,0,-0.007653279530290714,0.6223779001910241
7,align,0.17936569452285767,-0.12241845588524267,0,-0.007597329578410944,0.6206032843228166
8,align,0.1785668134689331,-0.12190054876692646,0,-0.007543909012226283,0.6188576744351018
9,align,0.17777132987976074,-0.12139753267110852,0,-0.00749155235366402,0.6171091115962145
10,align,0.17698270082473755,-0.120858052109557,0,-0.007437179001519425,0.6153647913154907
11,align,0.17619897425174713,-0.12036987235740904,0,-0.0073861364754705785,0.6136200305620698
12,align,0.17542202770709991,-0.11989111669937537,0,-0.007335881494632716,0.6118786526133787
13,align,0.17464810609817505,-0.11936293202310783,0,-0.007283248717649612,0.6101767604233804
14,align,0.1738806515932083,-0.11889631121291269,0,-0.0072352053373381025,0.6085306821993587
15,align,0.17311991751194,-0.11837484476717015,0,-0.007184017943550981,0.6068872113565282
16,align,0.1723625361919403,-0.1179193342578603,0,-0.007137593515564839,0.605294590618761
17,align,0.17160992324352264,-0.11747099859997534,0,-0.007093098895377284,0.603817025471236
18,align,0.1708751618862152,-0.1169626437300903,0,-0.0070454277480043416,0.6023656377212859
19,align,0.17014414072036743,-0.11653418417444719,0,-0.007002720979916708,0.6009156051098195
20,align,0.16941329836845398,-0.11603425570521558,0,-0.0069565487021226715,0.5995254297830588
21,align,0.16868534684181213,-0.11563128752215909,0,-0.006916504735726788,0.5981516667278601
22,align,0.16796095669269562,-0.11513445169975008,0,-0.006870989724179747,0.5967796452531906
23,align,0.16724151372909546,-0.11467302717037231,0,-0.006827761637057992,0.5954113016406056
24,align,0.16652587056159973,-0.11418194632060921,0,-0.006782907524964235,0.594043782185902
25,align,0.1658150851726532,-0.11373517544403923,0,-0.006740838765050424,0.5926784513878995
26,align,0.16510817408561707,-0.11329885335806253,0,-0.006699505964470171,0.5913127773056516
27,align,0.16440685093402863,-0.11281612364726179,0,-0.006656163748389702,0.5900011038494192
28,align,0.16370847821235657,-0.11239214465458909,0,-0.006616480989972399,0.5886960347902073
29,align,0.16301457583904266,-0.11191621183687601,0,-0.006573854967232863,0.5873907684451127
30,align,0.16232560575008392,-0.1115044921946801,0,-0.006535121537987315,0.5860859423113992
31,align,0.1616407036781311,-0.11106128913496814,0,-0.006494121421151887,0.5847331209400831
32,align,0.16096007823944092,-0.11059258850227381,0,-0.006451470600779899,0.583354697466662
33,align,0.16028453409671783,-0.11016447333611716,0,-0.006411318577716219,0.5819769644025777
34,align,0.15961147844791412,-0.10974656895470526,0,-0.006371958330301875,0.580606609481497
35,align,0.15894347429275513,-0.10928679820231832,0,-0.006330404668377011,0.5792469696712849
36,align,0.15828043222427368,-0.10888240531395954,0,-0.006292198077245115,0.5778893347462087
37,align,0.15762141346931458,-0.10842750477406589,0,-0.006251189709231196,0.5765317317093125
38,align,0.1569650024175644,-0.10803451552458063,0,-0.006213823337259362,0.575170195107281
39,align,0.15631455183029175,-0.10761827879886347,0,-0.0061752209256526625,0.5738078135587016
40,align,0.15566618740558624,-0.10717266225184205,0,-0.006135028375289357,0.5724434054715207
41,align,0.15502433478832245,-0.10677057290724365,0,-0.006097521852757307,0.5710863664705158
42,align,0.15438532829284668,-0.10632958677731479,0,-0.006057904153005128,0.5697289283830425
43,align,0.15374967455863953,-0.10594026350270282,0,-0.006021370834805082,0.5683741606562513
44,align,0.15311846137046814,-0.10550449868645022,0,-0.005982363364839576,0.5670244813558725
45,align,0.15249136090278625,-0.10512695792175636,0,-0.0059468139461374275,0.5656792571286527
46,align,0.15186777710914612,-0.10473096084095071,0,-0.005910358426641074,0.5643372675265357
47,align,0.151248499751091,-0.10430362115724187,0,-0.005873623772052062,0.5631275028502931
48,align,0.15063294768333435,-0.1039204962531418,0,-0.005840004235658209,0.5619684707271256
49,align,0.1500210016965866,-0.10349702137775584,0,-0.005804261524382708,0.5608143545694535
50,align,0.14941251277923584,-0.10312682928092623,0,-0.005771141287824205,0.5596158951133003
51,align,0.14880770444869995,-0.1027084414355835,0,-0.005735469687152244,0.5584224243875228
52,align,0.1482056826353073,-0.1023490489470155,0,-0.005703236594813083,0.5572339609882998
53,align,0.1476091593503952,-0.1019738619323504,0,-0.005670316436687834,0.5560558685567414
54,align,0.14701437950134277,-0.10156276084330294,0,-0.005635521984610716,0.5548807395365644
55,align,0.14642351865768433,-0.10119978242347853,0,-0.005603562286222041,0.5537128788255186
56,align,0.1458355188369751,-0.10079360841814326,0,-0.0055693528806587626,0.552550203139295
57,align,0.1452520191669464,-0.10044161474430019,0,-0.005538310079735476,0.5513959621054142
58,align,0.14467217028141022,-0.10007594199917048,0,-0.0055062315955152034,0.5502053226299727
59,align,0.14416931569576263,-0.09967417748068148,0,-0.005473553141171483,0.5491445507270275
60,align,0.14398065209388733,-0.09933115939726934,0,-0.00545076520784517,0.5487467619345047
61,align,0.14367765188217163,-0.09895517668372383,0,-0.005423813629576335,0.5481081244401885
62,align,0.14352811872959137,-0.09863583768560122,0,-0.005403202671968335,0.5477930535948691
63,align,0.14322377741336823,-0.0983084268031951,0,-0.005378965289872543,0.5471520056607927
64,align,0.14304490387439728,-0.09795102861976943,0,-0.005355720957500014,0.5467753665242338
65,align,0.14283065497875214,-0.09764137458677907,0,-0.0053343862200145266,0.5463243673688324
66,align,0.14256815612316132,-0.0972977878486366,0,-0.005310240723594908,0.5457719893751231
67,align,0.14244191348552704,-0.09700486748996755,0,-0.005291677702556414,0.5455064100885134
68,align,0.142098069190979,-0.09670352221169258,0,-0.0052682464035978364,0.5447833008672816
69,align,0.14203011989593506,-0.09637408468991941,0,-0.005248922433999027,0.5446404446680111
70,align,0.14171738922595978,-0.09605229117394894,0,-0.005225082700817799,0.5439831405328239
71,align,0.14156323671340942,-0.09576941513868284,0,-0.005206592817644222,0.5436592475901205
72,align,0.14134089648723602,-0.09545603171954178,0,-0.005185097280949231,0.5431922098106385
73,align,0.1410870999097824,-0.09518912148221076,0,-0.005165525667115514,0.5426592436910832
74,align,0.14096857607364655,-0.09491158985524485,0,-0.005148103246553272,0.542410389964486
75,align,0.14063945412635803,-0.09461048288750376,0,-0.005125234388246638,0.5417195042055517
76,align,0.14060033857822418,-0.09434753634747542,0,-0.005110215497812738,0.5416374073608206
77,align,0.14027468860149384,-0.09407375393143845,0,-0.0050889576732266175,0.5409540345265144
78,align,0.1402360051870346,-0.09378539827667302,0,-0.0050725977606463695,0.5408728708153349
79,align,0.13991400599479675,-0.09349896533290343,0,-0.005050644380250596,0.5401818471752876
80,align,0.13961876928806305,-0.09324367198806273,0,-0.005030585163362738,0.5395095512762266
81,align,0.1392536461353302,-0.09296622379589128,0,-0.00500789286786054,0.5386787441055413
82,align,0.13917383551597595,-0.09272842924341519,0,-0.0049934002577057945,0.5384972330975167
83,align,0.13886208832263947,-0.09247947875057899,0,-0.004973440427359299,0.5377885445021674
84,align,0.13882450759410858,-0.09221844271425288,0,-0.004958614676063747,0.5377031459345349
85,align,0.13851624727249146,-0.09198098794802892,0,-0.004939405892517202,0.5370029179625755
86,align,0.13848838210105896,-0.09172565413131792,0,-0.004925114006464234,0.5369396438877672
87,align,0.1381741613149643,-0.09148079123677333,0,-0.004905323877375429,0.5362135384989535
88,align,0.13813719153404236,-0.09123282785821946,0,-0.004891171728596926,0.5361197107907322
89,align,0.1378358006477356,-0.0909972353241599,0,-0.004871585726595803,0.5353553554942333
90,align,0.13762690126895905,-0.09075540702418215,0,-0.0048538364932027,0.5348261500176376
91,align,0.1372443437576294,-0.0905128841289474,0,-0.004832104878746747,0.5338582374485806
92,align,0.1371382772922516,-0.09028545686412483,0,-0.004817543089649805,0.5335901547133964
93,align,0.13689856231212616,-0.09005490854449892,0,-0.004799788970232403,0.5329847143046821
94,align,0.1368105411529541,-0.08982254812367459,0,-0.004785409012857966,0.5327625538154459
95,align,0.1365385502576828,-0.0895953565830184,0,-0.004767159043173205,0.5320765746108718
96,align,0.13648632168769836,-0.08937149919965338,0,-0.004754071664136548,0.5319449384547178
97,align,0.13620078563690186,-0.08914922354845202,0,-0.004735836519464246,0.5312257730310292
98,align,0.13616563379764557,-0.08893093998408202,0,-0.004723453894659068,0.5311372954682061
99,align,0.13581787049770355,-0.08871522006484228,0,-0.004704236729891962,0.530262645626491
100,align,0.13553676009178162,-0.08849371114217612,0,-0.004686242163410958,0.5295565190934222
101,align,0.13550204038619995,-0.08828547457685615,0,-0.0046744453762784305,0.5294693604675741
102,align,0.13522584736347198,-0.08807494653167035,0,-0.004657195685677005,0.528776442004691
103,align,0.13520003855228424,-0.08787216222239873,0,-0.004645904295496877,0.5287117305408277
104,align,0.1349181830883026,-0.08765286847758648,0,-0.004627914122650218,0.5279820504486525
105,align,0.1348784863948822,-0.08745461865963555,0,-0.004616478354250943,0.5278713034262724
106,align,0.13450855016708374,-0.08724261312040855,0,-0.004596293778284398,0.5268404526055162
107,align,0.13427995145320892,-0.08702979264413754,0,-0.004579547095314989,0.5262045279184604
108,align,0.13425469398498535,-0.08683670474280689,0,-0.004568777024026922,0.5261343158470527
109,align,0.1339818686246872,-0.08664731662429315,0,-0.004552246669112707,0.5253765317224379
110,align,0.13394856452941895,-0.0864453080680457,0,-0.004540834643602415,0.5252841068052048
111,align,0.13368719816207886,-0.08623372997202028,0,-0.004523470988960035,0.5245593563478859
112,align,0.13365407288074493,-0.08604772773016095,0,-0.00451292432231395,0.5244675764671128
113,align,0.1333378404378891,-0.08586373130420057,0,-0.004495758224815575,0.5235922264882561
114,align,0.13307371735572815,-0.08566175411351294,0,-0.004478929848241824,0.522862261530001
115,align,0.13304100930690765,-0.08545677733476896,0,-0.00446744050181355,0.5227719370124113
116,align,0.13278818130493164,-0.08527945524563384,0,-0.004452220946529768,0.5220742714298371
117,align,0.1327558010816574,-0.08510601817841362,0,-0.0044424063807441795,0.5219849871757901
118,align,0.13246241211891174,-0.0849080510227177,0,-0.004425209741496724,0.5211766950477676
119,align,0.13219259679317474,-0.08470300537094318,0,-0.004408236074255356,0.5204344349943895
120,align,0.13216857612133026,-0.08453593893289092,0,-0.004398983164631129,0.5203684042739826
121,align,0.1319161057472229,-0.08434122357718092,0,-0.004383001484511426,0.5196748752999211
122,align,0.13188432157039642,-0.08417563645002767,0,-0.004373661929209964,0.5195876281620353
123,align,0.13164247572422028,-0.08397546070736338,0,-0.0043576900681445005,0.5189242227952906
124,align,0.13133801519870758,-0.08377025683567957,0,-0.004340054916462101,0.518090200555954
125,align,0.13130655884742737,-0.08361037133096394,0,-0.004331051536752607,0.5180041025782003
126,align,0.13107004761695862,-0.08345246372409307,0,-0.0043174731576855335,0.5173571833612698
127,align,0.13103902339935303,-0.08325651740222285,0,-0.0043066296884235284,0.5172723797246588
128,align,0.1308286041021347,-0.0830557794778418,0,-0.004291471722485269,0.5166975434418959
129,align,0.13054294884204865,-0.08289857826669238,0,-0.004276887754234309,0.5159181066381098
130,align,0.13047799468040466,-0.08274794043542258,0,-0.004267650735715644,0.5157410218621896
131,align,0.13036932051181793,-0.08255508255556436,0,-0.004255259340806682,0.5154448653046462
