tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.2999025583267212,0.06879294116770072,0,0.017481992675387123,0.8470826792519409
2,align,0.29969522356987,0.06879299585723614,0,0.017481484883159756,0.8470574009907691
3,align,0.2994910478591919,0.0683417409702637,0,0.0173663014383757,0.8470324378543407
4,align,0.2992897629737854,0.0674406494366046,0,0.017136826009370738,0.847007759293088
5,align,0.29909151792526245,0.06702929485432581,0,0.017031809730932986,0.8469833857941304
6,align,0.2988956570625305,0.06654589574663347,0,0.016908498360805584,0.8469592387376736
7,align,0.29853355884552,0.0660918845504918,0,0.01679225101606119,0.8469144197390086
8,align,0.29832565784454346,0.06522553406817184,0,0.01657162800284352,0.8468885812685634
9,align,0.2981412410736084,0.06474669108128556,0,0.01644952354456062,0.8468655962618608
10,align,0.297780841588974,0.06429910987123663,0,0.01633494127347578,0.8468204980435767
11,align,0.2977810502052307,0.06385184459729504,0,0.01622131575424782,0.8468205242178709
12,align,0.29760468006134033,0.06340560839332245,0,0.016107529689899404,0.8467983667932529
13,align,0.2974313795566559,0.06254185090770278,0,0.01588769160215198,0.8467765382468195
14,align,0.2970929443836212,0.06208535578246015,0,0.015770929754153083,0.8467337455772225
15,align,0.29692789912223816,0.06162810629382469,0,0.01565439187910617,0.8467127971594992
16,align,0.29676553606987,0.06117577857908893,0,0.015539115221667312,0.8466921376722173
17,align,0.29649847745895386,0.060730997381269386,0,0.015425516240622683,0.8466580442593011
18,align,0.2962947487831116,0.05986317471900139,0,0.015204622740699926,0.8466319409258779
19,align,0.2962947487831116,0.05942392734338624,0,0.015093058483250831,0.8466319409258779
20,align,0.29614320397377014,0.0589763085792231,0,0.01497902348456857,0.8466124700704856
21,align,0.295994371175766,0.05853014732833417,0,0.01486536922013549,0.8465933026927039
22,align,0.29570481181144714,0.05808340174829543,0,0.01475125080768164,0.8465557206633215
23,align,0.29556402564048767,0.0576363104728615,0,0.014637384153610137,0.8465371935111554
24,align,0.2954259216785431,0.05718895049313847,0,0.01452345744358912,0.8465188536336605
25,align,0.29529044032096863,0.05674271022692946,0,0.014409823232057231,0.8465007031698255
26,align,0.29515770077705383,0.05630112639848531,0,0.014297379994352257,0.8464827679857874
27,align,0.2950275242328644,0.055859837314628534,0,0.014185019718468687,0.8464650334593751
28,align,0.2949000298976898,0.05541884260977589,0,0.014072345328553611,0.8464236269266804
29,align,0.29477518796920776,0.05498311251968864,0,0.013960926645168382,0.8463766421716717
30,align,0.2946529686450958,0.054541325706517985,0,0.013847998901456009,0.8463306628549795
31,align,0.2945333421230316,0.054099464365993166,0,0.013735080530139958,0.8462856759061128
32,align,0.2944163680076599,0.05321255491870667,0,0.01350920491255515,0.8462417019939056
33,align,0.2943020462989807,0.0519102400691066,0,0.013177913913681043,0.8461987394739887
34,align,0.29419025778770447,0.051027318842096686,0,0.012953132959820162,0.8461567420322076
35,align,0.29408109188079834,0.05056316080299665,0,0.012834685893912819,0.8461157418487022
36,align,0.2939745783805847,0.05012501320673248,0,0.012722867424508347,0.8460757487840084
37,align,0.29387062788009644,0.04924407032420767,0,0.01249868763968381,0.8460367280362443
