tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.2997388243675232,0.058044596116957434,0,0.014750224087829722,0.8470627227214881
2,align,0.2995665669441223,0.05761573981384375,0,0.01464087990004395,0.8470416791978825
3,align,0.2993973195552826,0.05715001354928702,0,0.01452217771368679,0.8470209548397656
4,align,0.2992309331893921,0.0567032230140199,0,0.014408298041976937,0.8470005334273197
5,align,0.2990673780441284,0.056256825754069324,0,0.014294528857801077,0.8469804132622423
6,align,0.2987482249736786,0.0558106980258331,0,0.014180510822560067,0.8469410181297938
7,align,0.2985929846763611,0.05536496061843678,0,0.014066937483863935,0.8469217911312895
8,align,0.2985929548740387,0.054919482697239404,0,0.013953751935303226,0.846921787436078
9,align,0.2984403669834137,0.05447759984992475,0,0.013841170326437714,0.8469028471988157
10,align,0.29829034209251404,0.054029497187730605,0,0.013727017998047684,0.8468841844145406
11,align,0.2981429398059845,0.053584939525697484,0,0.013613775936713337,0.8468658082671806
12,align,0.29799845814704895,0.05314076018083001,0,0.013500640082403476,0.846847757820477
13,align,0.29785647988319397,0.05269681335059854,0,0.013387572463081972,0.8468299828057766
14,align,0.29771730303764343,0.052253154240583785,0,0.013274587602766787,0.8468125223374381
15,align,0.29755493998527527,0.05180983590635182,0,0.01316164803971141,0.8467921074228436
16,align,0.2973157465457916,0.05136677856262458,0,0.013048629948314176,0.8467619418262554
17,align,0.2971874177455902,0.050923974574522954,0,0.012935897148622083,0.8467457130427167
18,align,0.297187477350235,0.050481505469973875,0,0.012823499617658534,0.8467457205877693
19,align,0.2970615327358246,0.05004757671534725,0,0.012713031826656087,0.8467297626924926
20,align,0.2969384789466858,0.04960606496705919,0,0.012600647014810501,0.8467141415858415
21,align,0.296817809343338,0.04916485973580112,0,0.012488348243342804,0.8466987946575303
22,align,0.2966998815536499,0.04872398104698146,0,0.01237614117444375,0.8466837690260585
23,align,0.296584814786911,0.04828366650032238,0,0.012264086272523398,0.8466690816614983
24,align,0.29647204279899597,0.04784376524221044,0,0.012152144065469099,0.8466546618943639
25,align,0.2963619828224182,0.04740439114630863,0,0.012040344145554143,0.8466405646116129
26,align,0.29625484347343445,0.04696565215577638,0,0.011928714195577074,0.8466268182551606
27,align,0.296149879693985,0.04695105210820593,0,0.011924815954150944,0.8466133287541224
28,align,0.29614993929862976,0.04651085279570906,0,0.011813012479541913,0.846613336420537
29,align,0.29604795575141907,0.046070935729623674,0,0.011701099141334728,0.8466002087161795
30,align,0.2959482669830322,0.045631228736059216,0,0.011589246387272755,0.8465873560924277
31,align,0.295948326587677,0.04520166976983709,0,0.011480148734712514,0.846587363783124
32,align,0.29585155844688416,0.04476482212687772,0,0.011369031772726664,0.8465748499646455
33,align,0.29575711488723755,0.04475251167266497,0,0.011365740255141029,0.8465625600542754
34,align,0.29566535353660583,0.04431345133519026,0,0.011254072917300123,0.8465505452790151
35,align,0.29557642340660095,0.04387532681336455,0,0.011142650372776551,0.8465388318872091
36,align,0.29548975825309753,0.04343893921474197,0,0.011031675047477062,0.8465273513349836
37,align,0.2954057455062866,0.042560574603423225,0,0.010808464261670037,0.8465161605846594
38,align,0.29532456398010254,0.041683673734704725,0,0.010585635090853973,0.8465052895150372
39,align,0.295324444770813,0.04123261468158202,0,0.010471087730571873,0.846505273510191
40,align,0.2952456772327423,0.04079498718717449,0,0.010359821786640706,0.8464946717683756
41,align,0.2951694428920746,0.03991609647397855,0,0.010136505420214631,0.8464843605822575
42,align,0.29509589076042175,0.03903857005818601,0,0.009913544643496306,0.8464743652854443
43,align,0.2950246334075928,0.038167176858802686,0,0.009692149662938314,0.8464646379963142
44,align,0.2950246334075928,0.03772001304644028,0,0.009578597156571396,0.8464646379963142
45,align,0.294956237077713,0.0372835874190838,0,0.009467549464908789,0.8464447871292891
46,align,0.2949562966823578,0.03684358249888802,0,0.009355817751651875,0.8464448095706801
47,align,0.29489025473594666,0.03596970359173676,0,0.009133642385580813,0.8464199473024537
48,align,0.29489028453826904,0.03553781747466269,0,0.009023975397845383,0.8464199585206365
49,align,0.2948269248008728,0.03553195474984061,0,0.009022232496912095,0.8463961111842636
50,align,0.29476603865623474,0.03465706907006061,0,0.008799844330734878,0.8463731995479914
51,align,0.2947077453136444,0.03378714168063188,0,0.00857873705916549,0.8463512678141263
