tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.299560546875,-0.05327856891548393,0,-0.013538738774652512,0.8470409428682343
2,align,0.2994098663330078,-0.05283466550868825,0,-0.01342564502651833,0.8470224928562345
3,align,0.2992643415927887,-0.05239077980355167,0,-0.01331257003826899,0.8470046375963344
4,align,0.2991190254688263,-0.05194653155834459,0,-0.013199407521012788,0.8469867717852448
5,align,0.29897385835647583,-0.051502475471422816,0,-0.013086298312565347,0.8469688879211604
6,align,0.2988327741622925,-0.05105857367190646,0,-0.012973240237777713,0.8469514719272226
7,align,0.29869404435157776,-0.0506148572581627,0,-0.012860237800759879,0.846934312532374
8,align,0.2985578179359436,-0.05017145851401232,0,-0.012747324806435596,0.8469174296826826
9,align,0.29842427372932434,-0.049728308460703946,0,-0.012634483969094728,0.8469008471689512
10,align,0.2982932925224304,-0.04928545547491255,0,-0.012521727261525024,0.8468845518328679
11,align,0.29816633462905884,-0.048842747183820076,0,-0.012409018545892374,0.8468687274551349
12,align,0.29816529154777527,-0.04884361276041342,0,-0.01240923654795736,0.8468685973214736
13,align,0.29803335666656494,-0.0484011059693991,0,-0.012296573778692164,0.8468521212763537
14,align,0.29791027307510376,-0.04795894796778434,0,-0.01218401948387882,0.8468367218329615
15,align,0.2977897524833679,-0.047517056608746874,0,-0.012071541199322145,0.8468216159878916
16,align,0.2976730763912201,-0.047075471475134203,0,-0.011959151156521774,0.8468069663298529
17,align,0.2975578308105469,-0.04663403270503426,0,-0.011846804340797601,0.8467924713359756
18,align,0.29744502902030945,-0.04619287140263641,0,-0.01173453577506314,0.8467782595558243
19,align,0.297334760427475,-0.045307519070967917,0,-0.011509437495264065,0.846764343701696
20,align,0.2972272038459778,-0.04486698057689152,0,-0.011397344807231008,0.8467507478540648
21,align,0.297122061252594,-0.04442843535624,0,-0.011285765829019707,0.8467374357981313
22,align,0.29701948165893555,-0.043989968027482555,0,-0.011174214151994129,0.8467244277917398
23,align,0.2969207465648651,-0.04355117443650047,0,-0.011062589141204908,0.8467118881286543
24,align,0.29692336916923523,-0.043547207048604035,0,-0.0110615857254393,0.8467122214514784
25,align,0.2969241142272949,-0.04354785396438698,0,-0.011061751287973367,0.8467123161430307
26,align,0.2968195974826813,-0.04310802123856744,0,-0.010949855830565538,0.8466990222822718
27,align,0.29672595858573914,-0.04266848986641622,0,-0.010838057906366804,0.8466870939419935
28,align,0.29663366079330444,-0.04222921662190027,0,-0.010726330644538831,0.8466753196471489
29,align,0.2965439260005951,-0.0417907125843404,0,-0.010614805761697294,0.8466638562555338
30,align,0.2964567244052887,-0.04135611395169081,0,-0.010504279677038538,0.8466527012433898
31,align,0.29637324810028076,-0.04092097444539427,0,-0.010393624800187901,0.8466420086564127
32,align,0.2963756322860718,-0.04091298516641646,0,-0.010391599333152668,0.8466423142419701
33,align,0.29629459977149963,-0.0404743635481907,0,-0.010280066458368372,0.8466319218030806
34,align,0.2962150573730469,-0.04003595916398244,0,-0.01016859363522099,0.8466217077146124
35,align,0.2961379885673523,-0.039598277853057216,0,-0.010057310777062267,0.8466117991615119
36,align,0.2960646152496338,-0.039163186811590874,0,-0.00994669385076729,0.8466023546227713
37,align,0.2960667908191681,-0.038727490121376947,0,-0.009836038552971238,0.8466026348160635
38,align,0.2959958612918854,-0.038722483276138156,0,-0.009834660733440567,0.8465934948186334
39,align,0.2959262728691101,-0.03828470933774349,0,-0.009723372657373292,0.8465845177330692
40,align,0.2959307134151459,-0.03784321975163496,0,-0.009611251689658654,0.8465850908685268
41,align,0.29585346579551697,-0.037401870961675916,0,-0.009499047765372465,0.8465750973710852
42,align,0.2958555817604065,-0.03696450627485476,0,-0.00938797219291918,0.8465753718006854
43,align,0.2957921326160431,-0.036527366918852576,0,-0.009276860408877713,0.846567125911077
44,align,0.2957300841808319,-0.03565024599618079,0,-0.009054011283257571,0.8465590283470066
45,align,0.2956715524196625,-0.03477933359669363,0,-0.008832747638715215,0.8465513592201126
46,align,0.29567450284957886,-0.03433124095265422,0,-0.008718951596480016,0.8465517465083006
47,align,0.2956172823905945,-0.03389476398609698,0,-0.008608024983280687,0.8465442220723279
48,align,0.29556363821029663,-0.033022781375283757,0,-0.008386503292775911,0.8465371422905922
49,align,0.2955664098262787,-0.032578736654932286,0,-0.008273736769202981,0.8465375086861932
50,align,0.29551416635513306,-0.032142735522963234,0,-0.008162942671629512,0.846530591212208
51,align,0.29546529054641724,-0.03127112707980195,0,-0.007941528797264749,0.8465240984117678
52,align,0.29546794295310974,-0.030828419102865195,0,-0.007829103169568656,0.8465244512912243
53,align,0.2954205572605133,-0.03039290536424235,0,-0.007718443696742079,0.8465181379492739
54,align,0.29542306065559387,-0.029523371480456546,0,-0.007497623793876332,0.8465184719660153
55,align,0.2953789234161377,-0.029080181945981113,0,-0.007385021910700559,0.8465125750610111
56,align,0.29533636569976807,-0.028646772724900783,0,-0.007274907003650153,0.846506873393403
57,align,0.2953396737575531,-0.02820695844908921,0,-0.00716321901647292,0.846507317145617
58,align,0.2952996790409088,-0.027771983526675755,0,-0.007052711428799187,0.8465019458698804
59,align,0.29530200362205505,-0.027772287665900824,0,-0.007052791269322827,0.8465022584344437
60,align,0.29526519775390625,-0.027337443109652568,0,-0.006942321567797776,0.8464973040762682
61,align,0.2952675521373749,-0.02689970185256928,0,-0.0068311600898944775,0.8464976213409854
62,align,0.2952665686607361,-0.02646219101285697,0,-0.0067200534723051925,0.8464974888184398
