tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.2048269361257553,0.08230789323979779,0,0.005592578248137747,0.6794704648610305
2,align,0.20465123653411865,0.08231528769010284,0,0.005589655473797635,0.679054356809313
3,align,0.20434381067752838,0.08207535935286935,0,0.005567388370025944,0.6783264080623619
4,align,0.20444601774215698,0.08136263394888746,0,0.005521011297853857,0.678568407866711
5,align,0.20427976548671722,0.08092119944027794,0,0.005487871594729186,0.6781747715911436
6,align,0.20418795943260193,0.08095696451206076,0,0.00548853742816503,0.6779574137006287
7,align,0.20393593609333038,0.08071576313192078,0,0.005467369026128701,0.6773607550724516
8,align,0.2037203013896942,0.08028522500963982,0,0.00543410749571668,0.6768502542110593
9,align,0.20342011749744415,0.08004353386392728,0,0.0054120599489083255,0.6761395565204231
10,align,0.20357435941696167,0.07960603737407176,0,0.005385386148823179,0.6765047383927737
11,align,0.20341095328330994,0.07937682206667397,0,0.005366808696682954,0.6761178587088064
12,align,0.20327462255954742,0.07866091750420133,0,0.005315865957572759,0.6757950614151984
13,align,0.20305269956588745,0.07868587063653847,0,0.005313417212332953,0.6752695457709813
14,align,0.2028922140598297,0.07844417401784559,0,0.005294114612200322,0.6748894584569073
15,align,0.20256337523460388,0.07774494202621124,0,0.0052408678572964315,0.6741104592411303
16,align,0.20269353687763214,0.07777789785269049,0,0.005245487952734054,0.6744188384557378
17,align,0.20253518223762512,0.07734972363362565,0,0.00521370906503935,0.6740436578331657
18,align,0.202410489320755,0.07691061024051993,0,0.0051818383406221765,0.6737481765412068
19,align,0.20224201679229736,0.07666184016885057,0,0.005162016334784961,0.673348868669918
20,align,0.20208579301834106,0.07641636449664017,0,0.005142657022019139,0.6729784982436907
21,align,0.2017754167318344,0.0764469025419392,0,0.005139084651321142,0.6722423643654903
22,align,0.20186065137386322,0.07575058511445384,0,0.005093806905209152,0.6724445623110059
23,align,0.20170573890209198,0.07532900303315083,0,0.0050626893788192915,0.672077045356793
24,align,0.20159298181533813,0.07508772138858212,0,0.005044464189993324,0.6718094645445437
25,align,0.20148704946041107,0.07437717131364491,0,0.004994858584518161,0.6715580192550057
26,align,0.2012958526611328,0.07439708229414552,0,0.004992818180632813,0.6711040307861252
27,align,0.20105497539043427,0.07442056491531837,0,0.004990135320508639,0.6705317711827116
28,align,0.20091159641742706,0.07445097824667665,0,0.004989637309371228,0.6701909668452148
29,align,0.20061449706554413,0.0737603445940809,0,0.004938139482313317,0.6694843292136126
30,align,0.20082110166549683,0.07379493205759764,0,0.004944081825298904,0.6699757947388584
31,align,0.20068223774433136,0.07310392937063961,0,0.004895371753851645,0.6696455027789177
32,align,0.2005721628665924,0.07240700553840958,0,0.004846806113006919,0.6693835875364084
33,align,0.2003958821296692,0.07242711058106072,0,0.004845112658502061,0.6689639583342748
34,align,0.20022647082805634,0.07218080001089944,0,0.0048257229100954965,0.6685604633596196
35,align,0.19997842609882355,0.07220832064389697,0,0.004823292999000456,0.6679691420587164
36,align,0.2000444382429123,0.07152378284619348,0,0.004778694589185928,0.6681266564804257
37,align,0.19989845156669617,0.0715564615889696,0,0.0047783833496921205,0.6677780375921644
