tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.282998651266098,0.19229175643334412,0,0.016139732132608633,0.8393356237402353
2,align,0.28189024329185486,0.19205296317242315,0,0.016100996178253706,0.8383622888337525
3,align,0.28037944436073303,0.19102691809776856,0,0.01599008254241115,0.8370591276684547
4,align,0.27887430787086487,0.19000060815732125,0,0.01587290864891209,0.8354135706644296
5,align,0.2773803770542145,0.18898044786225987,0,0.015755288918952844,0.8336994169066754
6,align,0.2758963704109192,0.18796821459919927,0,0.015639667452140748,0.8320378786109601
7,align,0.27442243695259094,0.18696199917719616,0,0.015521932091443964,0.8302185556292009
8,align,0.2729611098766327,0.1859639144073195,0,0.015400644730112783,0.8281523207981374
9,align,0.27150988578796387,0.18497399311558588,0,0.015281724285608733,0.8261552896281773
10,align,0.27007097005844116,0.18399086507902868,0,0.015164567195047631,0.8242021791969982
11,align,0.26864150166511536,0.1830160963056737,0,0.015040274107382456,0.8218006181413777
12,align,0.2672232389450073,0.18204753244637645,0,0.01491790267430592,0.8194509683178545
13,align,0.2658173143863678,0.18108853658037236,0,0.014796297933342601,0.8170753495915283
14,align,0.2644234597682953,0.18013538212736258,0,0.014672278373731622,0.8145139616911997
15,align,0.26304131746292114,0.17919225834613342,0,0.014546012394010049,0.811754510393664
16,align,0.2616702914237976,0.17825583775569684,0,0.014422402131931262,0.8090844212180838
17,align,0.2603108584880829,0.1773266958265515,0,0.01430127592736735,0.8064931149089843
18,align,0.25896334648132324,0.1764061275087529,0,0.014176077616974554,0.8036046036026253
19,align,0.2576265037059784,0.17549489721044512,0,0.014052083780965832,0.8007118158036949
20,align,0.25630247592926025,0.17458972071508375,0,0.013930973328944857,0.7979263195958183
21,align,0.2549896836280823,0.17369289131201565,0,0.013812683758223795,0.7952359854158445
22,align,0.2536872923374176,0.17280501843551313,0,0.013689639006337165,0.7922014725194931
23,align,0.2523978352546692,0.1719226033191978,0,0.013569793690813186,0.7892966619182127
24,align,0.2511184811592102,0.17105014290441486,0,0.013453240555194255,0.7865085832001968
25,align,0.2498505413532257,0.17018265544134098,0,0.013338665260723892,0.7837852351129576
26,align,0.24859435856342316,0.16932518141883823,0,0.013221339824510278,0.7808253748039002
27,align,0.24734841287136078,0.16847436118854295,0,0.0131072594263785,0.7779972770877528
28,align,0.24611209332942963,0.16763107884196485,0,0.012996311053080115,0.7752924542907977
29,align,0.2448873370885849,0.16679461423259337,0,0.012887041041619406,0.7726293262472228
30,align,0.24367330968379974,0.16596486282408154,0,0.012774085862552697,0.7696861639980322
31,align,0.24277205765247345,0.16514142035260485,0,0.012675892073207927,0.7675779974607676
32,align,0.24206110835075378,0.16434302523614822,0,0.012588004480162979,0.7659591553748624
33,align,0.24140910804271698,0.16357935287002642,0,0.012505767079387572,0.7645076753252686
34,align,0.24092620611190796,0.16284081725542637,0,0.01243212352691874,0.7634525382796469
35,align,0.2406475841999054,0.16212092832437003,0,0.01236741609980808,0.7628513004233155
36,align,0.24012160301208496,0.1614216800569629,0,0.012295987691869112,0.7617308708179764
37,align,0.23948603868484497,0.16075400372349,0,0.012221348117021793,0.7602515541723931
38,align,0.23885589838027954,0.1600990678181058,0,0.01214788972644704,0.7587732953104191
39,align,0.23826190829277039,0.15945757476933994,0,0.012077020052685628,0.7573813956568317
40,align,0.2379874587059021,0.15882943977844569,0,0.012019344342839971,0.7567453716141032
