tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.281400203704834,0.19120392960294877,0,0.04808563026959757,0.8382957116249559
2,align,0.27805575728416443,0.19046767940053605,0,0.04770800492908997,0.8349273934426852
3,align,0.2735578715801239,0.1873999704364861,0,0.04663818040783289,0.8295657731287205
4,align,0.26914557814598083,0.18436401466292687,0,0.045518475839921135,0.822981931029991
5,align,0.26483777165412903,0.18140059950613682,0,0.04438435091190501,0.815586259228496
6,align,0.26063770055770874,0.17850761469684046,0,0.043238845703637604,0.8074136552861746
7,align,0.2565456032752991,0.1756867426047704,0,0.0421068009509507,0.7988992287573132
8,align,0.25255775451660156,0.17294012870351225,0,0.04100557992362277,0.7903617710751707
9,align,0.24867692589759827,0.17026539732758794,0,0.03993135692774355,0.7817473496178879
10,align,0.2448965609073639,0.1676611969261139,0,0.038887242768913755,0.7731314397103436
11,align,0.24180209636688232,0.16512366268535345,0,0.03793538980109625,0.7657975682016155
12,align,0.23997049033641815,0.1627329535113403,0,0.037188142084570726,0.7617416813282221
13,align,0.23855143785476685,0.1605940330150835,0,0.0365351930901902,0.758334383170154
14,align,0.2368299514055252,0.1586128760092795,0,0.03589633079861339,0.7543803441807441
15,align,0.2355739027261734,0.15680523492100487,0,0.03535697460463779,0.7516112716187884
16,align,0.23390337824821472,0.15512029960806115,0,0.034798548120088375,0.7477755051619733
17,align,0.23257103562355042,0.15347760449414125,0,0.03428899623887848,0.7447122627846203
18,align,0.2309350222349167,0.15197414366321366,0,0.03378668395459655,0.7410621118434119
19,align,0.22976094484329224,0.15046284941231908,0,0.0333327440648917,0.7384490411882052
20,align,0.22822260856628418,0.14909311656577337,0,0.03286576418089936,0.7347927911972699
21,align,0.2270936369895935,0.1477831194335014,0,0.03246030130837224,0.7321607824764349
22,align,0.22572581470012665,0.14640600328213885,0,0.032020356792771015,0.7290310523461396
23,align,0.22448447346687317,0.1451822666756677,0,0.03162622280519154,0.7261268548691158
24,align,0.2229701429605484,0.1440023401638935,0,0.031211608896607006,0.722479205571338
25,align,0.22198110818862915,0.14234413261842804,0,0.0307529001020101,0.7201537929314644
26,align,0.22091522812843323,0.14048486748472935,0,0.030247563826492102,0.7176944717261688
27,align,0.2195800393819809,0.13864846622056445,0,0.029723470427481642,0.7146002942481651
28,align,0.21864677965641022,0.1368404561247327,0,0.0292439501001956,0.7123612155930256
29,align,0.21727605164051056,0.13491119814291339,0,0.028700921806696058,0.7091311964653163
30,align,0.21638114750385284,0.13314926372805835,0,0.028243207524706906,0.7070562949160155
31,align,0.21534545719623566,0.13141340332860643,0,0.027781550318195465,0.7046858644681312
32,align,0.2142069935798645,0.12969947831710296,0,0.027314888354921827,0.7020045803664043
33,align,0.21336255967617035,0.12800623418144663,0,0.026881432069989608,0.7000032001536645
34,align,0.2124812752008438,0.12618522951909056,0,0.026420683430407883,0.6979338636040784
35,align,0.21131129562854767,0.12453834260262799,0,0.025973911640065815,0.6952052167832452
36,align,0.21051441133022308,0.12290829020495934,0,0.02556589190419734,0.6933595735368808
37,align,0.2097305953502655,0.1212979826150019,0,0.025164252418744433,0.6915270937526752
38,align,0.20895983278751373,0.11970653621577815,0,0.024767905013427603,0.6896840054687847
39,align,0.20804986357688904,0.1184720536998842,0,0.02443545570607404,0.687516730541208
40,align,0.20716704428195953,0.1165786025374592,0,0.0239716482646693,0.6854216166289091
41,align,0.20636095106601715,0.11522392365239326,0,0.023627141146240933,0.6835137587549132
42,align,0.20564614236354828,0.11385305413887717,0,0.023288362721973203,0.6818251502082741
43,align,0.20494358241558075,0.11234698648135699,0,0.0229243377502691,0.6801647428277392
44,align,0.20425249636173248,0.11070600773474175,0,0.02253421774741459,0.6785002972740779
45,align,0.20323753356933594,0.10938330742782715,0,0.02218479601544962,0.6760567200831049
46,align,0.20257513225078583,0.1082524904945136,0,0.021903643870748567,0.6744615842305164
47,align,0.20192396640777588,0.10680667745250295,0,0.021560823798936257,0.6728925042638956
48,align,0.20128364861011505,0.10537339640170582,0,0.021222666278332213,0.6713480189827956
49,align,0.20073504745960236,0.10395559164851854,0,0.020895794733472233,0.6700231128218174
50,align,0.20003630220890045,0.10255134191933901,0,0.020561528028447275,0.6683328124111657
51,align,0.1994284838438034,0.10148026828379317,0,0.020301821761709322,0.6668561322330024
52,align,0.1988312155008316,0.10025754797663157,0,0.020013713326077,0.6654100274738376
53,align,0.19824448227882385,0.09888854805388747,0,0.01969843054962338,0.6639943295519952
54,align,0.19766749441623688,0.0978502114252818,0,0.01945085818785605,0.6626065801506106
55,align,0.19717228412628174,0.09650502767508828,0,0.019149071981627158,0.6614188035224435
56,align,0.19654420018196106,0.09532943956586151,0,0.018872837874535253,0.6599163896093304
57,align,0.1960402876138687,0.09432154776927014,0,0.018639278799670114,0.6587140563492312
58,align,0.1957276314496994,0.093005989613516,0,0.018358526782532844,0.6579693364847157
59,align,0.19510908424854279,0.09170516429641684,0,0.018061295998807438,0.6564986874831555
60,align,0.1946726143360138,0.09057345485818641,0,0.01781057579940165,0.6554744554125786
61,align,0.19415928423404694,0.0895988615213777,0,0.017586721363936696,0.654276221271726
62,align,0.19367225468158722,0.08863294235613464,0,0.01736694391078611,0.6531410500099111
63,align,0.19316060841083527,0.08752931824991766,0,0.01711942376100157,0.6519500781106439
64,align,0.19291670620441437,0.0862739992607156,0,0.016859221238332094,0.651382857052308
65,align,0.1924355924129486,0.0853294983873066,0,0.016646032136982025,0.6502648537565311
66,align,0.19196349382400513,0.08425378450786428,0,0.01640847874732221,0.6491688115521441
67,align,0.1915004551410675,0.08318745532115412,0,0.016174003842983217,0.6480946668597942
68,align,0.19127187132835388,0.08226449698547302,0,0.015981478086479733,0.6475648131782326
69,align,0.19082175195217133,0.08151922887014584,0,0.015811199156087107,0.6465222735473937
70,align,0.19038046896457672,0.08030582071985627,0,0.015551250022280635,0.6455011555775251
71,align,0.19016273319721222,0.07940400926748703,0,0.015364619287827182,0.644997627935412
72,align,0.18973396718502045,0.07837500117750823,0,0.015142652230444127,0.6440256035275064
73,align,0.18931367993354797,0.07765205308217982,0,0.014981053707517594,0.6430846797943222
74,align,0.18910665810108185,0.07647078562309714,0,0.014742527688277435,0.6426213430463577
75,align,0.18869858980178833,0.07558931585547955,0,0.014551886204397823,0.6417082467148228
76,align,0.18849827349185944,0.07488480921109254,0,0.014406191932006377,0.6412600937259434
77,align,0.18810243904590607,0.07389220321215853,0,0.014195607363172217,0.6403746153665647
78,align,0.18771497905254364,0.07302526802659913,0,0.014010071214637291,0.639507921629455
