tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.29981115460395813,0.12436301715145563,0,0.010514863610240776,0.8454976287231144
2,align,0.29971083998680115,0.12436636733801884,0,0.010515024481373701,0.8454877879318144
3,align,0.29942142963409424,0.12388561488598487,0,0.010474020776884183,0.8454589975215197
4,align,0.2990288734436035,0.12340429098829182,0,0.010432833318359865,0.8454190072977038
5,align,0.2986392080783844,0.12292734752797238,0,0.010392010672320153,0.8453782564498455
6,align,0.29825279116630554,0.1224688992754398,0,0.01035274700444351,0.8453368214863733
7,align,0.29824668169021606,0.12207811804720692,0,0.010319704731787697,0.8453361582619684
8,align,0.297863632440567,0.12164973935450606,0,0.010282980399440844,0.845294075762436
9,align,0.29749560356140137,0.12152862385683605,0,0.010272240036356817,0.8452527240379014
10,align,0.2974000871181488,0.12107032283052732,0,0.01023337031509372,0.8452418458830956
11,align,0.2971021234989166,0.12062761699841434,0,0.010195536998824606,0.8452075281366643
12,align,0.29709017276763916,0.1202021241078665,0,0.010159557329623627,0.8452061396607837
13,align,0.2967236340045929,0.11976018848336642,0,0.010121689279611209,0.8451631053517437
14,align,0.2963545620441437,0.11965141294055875,0,0.010111967074714468,0.8451189021677462
15,align,0.29598915576934814,0.11920437995981266,0,0.010073655623837035,0.8450742856288639
16,align,0.29562705755233765,0.11875696395026228,0,0.010035310756620189,0.8450292448384897
17,align,0.2956210672855377,0.1183290040252747,0,0.00999913799299243,0.8450284928331389
18,align,0.2954387366771698,0.11790156400711156,0,0.009962746965818536,0.8450054967224696
19,align,0.29525652527809143,0.1177978727191515,0,0.00995371185882319,0.8449823098719611
20,align,0.29490140080451965,0.11735294996705492,0,0.009915303931675418,0.844913053694772
21,align,0.29454943537712097,0.11690939546271185,0,0.009876320493031257,0.8447841556225736
22,align,0.29420098662376404,0.11647160348397846,0,0.009837859990825258,0.8446573839930458
23,align,0.2941952347755432,0.11638936700902429,0,0.009830889550029044,0.8446552982169585
24,align,0.29389873147010803,0.11595593760769521,0,0.009793036366099031,0.8445480730129625
25,align,0.2938444912433624,0.11551797666595946,0,0.009755822585426538,0.8445285198889184
26,align,0.2935027480125427,0.11508118155948777,0,0.009717521201311684,0.844405755105017
27,align,0.2931642234325409,0.11498783576825777,0,0.009708248908481175,0.8442848622741991
28,align,0.29282915592193604,0.11454752992334417,0,0.009669711670985081,0.844165882708785
29,align,0.2928234934806824,0.11412301824115179,0,0.009633852961314839,0.8441638776988596
30,align,0.2925158739089966,0.11369463503907666,0,0.009596455136313171,0.8440552303118687
31,align,0.2924860119819641,0.11360914282308743,0,0.009589119625000244,0.8440447121348724
32,align,0.29215744137763977,0.11317192450767014,0,0.009550910399477884,0.8439293085301008
33,align,0.2918321192264557,0.11273558363703197,0,0.009512804692526734,0.8438156246349461
34,align,0.29151004552841187,0.11230386928543333,0,0.009475118159127787,0.8437036247652048
35,align,0.2911911606788635,0.11222032375487141,0,0.009466830811641163,0.8435932543128324
36,align,0.2911856174468994,0.1117942261667239,0,0.00943086410788346,0.8435913402020223
37,align,0.29118016362190247,0.11137088844546948,0,0.009395130732175166,0.8435894571116133
38,align,0.2908644378185272,0.11094124557880088,0,0.009357679842280956,0.8434806904736124
39,align,0.29055196046829224,0.11085971968668791,0,0.009349615092823371,0.8433735101664773
40,align,0.2902427315711975,0.11089226330440569,0,0.009351188452664782,0.8432678866870295
41,align,0.29023727774620056,0.11046159181736802,0,0.009314850774347936,0.8432660276839636
42,align,0.28993111848831177,0.1103883501779854,0,0.009307325354414208,0.843143804523528
43,align,0.289925754070282,0.10996286283084888,0,0.009271415181779173,0.843140578837147
44,align,0.2896227240562439,0.10953421524367397,0,0.00923328196794246,0.842958699927849
45,align,0.28932279348373413,0.10910800721890745,0,0.009195393908614567,0.8427790171408323
46,align,0.28931745886802673,0.10903433630712717,0,0.009189150264014614,0.8427758241340305
47,align,0.28902068734169006,0.10860413222071816,0,0.009150966215018812,0.8425983457444451
48,align,0.2887270748615265,0.10771440160046224,0,0.009074109392497436,0.8424230425709848
49,align,0.2884364724159241,0.10718060481837893,0,0.009027284335035387,0.8422498035285785
50,align,0.2884312570095062,0.10676117183965933,0,0.008991924432586918,0.8422466967758239
51,align,0.28842198848724365,0.10634147635318686,0,0.008956517008353098,0.8422411758330537
52,align,0.2881386876106262,0.10581109572268343,0,0.008910061866025878,0.8420725449604968
53,align,0.28785431385040283,0.10492916047622247,0,0.008834022795993504,0.8419035047931543
54,align,0.287572979927063,0.10405361516989305,0,0.008758572442393203,0.841736486338575
55,align,0.2875678837299347,0.10398121877411534,0,0.008752447134476926,0.841733462798738
56,align,0.28728964924812317,0.10310393827502756,0,0.008676902534897406,0.8415684871078302
57,align,0.2870144248008728,0.10268497215942621,0,0.008639969834102293,0.8414054805106326
58,align,0.28700947761535645,0.1021665238125433,0,0.008596317387162832,0.8414025520664171
59,align,0.2870045602321625,0.101753064417148,0,0.008561499190368079,0.8413996413188364
60,align,0.2867323160171509,0.1008858960881407,0,0.008486910758764517,0.8412385762376319
61,align,0.28646305203437805,0.10036213085282646,0,0.008441252394021367,0.8410794312846775
62,align,0.28631269931793213,0.09994980342157536,0,0.008405684832509513,0.840990631772973
