tick,phase,dist_frontal,offset_lateral,vx,vy,speed_factor
1,align,0.1700361967086792,0.005016868271797522,0,0.0009047062640277693,0.6011095734189416
2,align,0.17002947628498077,0.005018418227881804,0,0.0009049644938604979,0.6010954400150831
3,align,0.17002050578594208,0.005024515188400746,0,0.0009060355118861287,0.6010765735022162
4,align,0.1700115203857422,0.0050305466536633555,0,0.0009070946017950198,0.6010576744076468
5,align,0.1700936257839203,0.005036815203221202,0,0.0009084858072382121,0.6012303215314887
6,align,0.1700868159532547,0.005044562644663342,0,0.0009098615417034511,0.6012160060866039
7,align,0.17007772624492645,0.005053189577943949,0,0.0009113885680209782,0.6011968968398277
8,align,0.17006869614124298,0.005061928125719648,0,0.000912935813860839,0.6011779116487345
10,approach,0.17006412148475647,0.004816328197880833,0.03,0,0.6011682932621748
