tick,timestamp,x_pred,y_pred,x_raw,y_raw,x_real,y_real,error_x,error_y,error_euclidean,error_x_raw,error_y_raw,error_euclidean_raw,yaw_cos,yaw_sin,inference_time_ms,smoothed
0,0.414,-3.970572,-0.024506,-3.970572,-0.024506,-3.899834,0.000004,-0.070738,-0.024510,0.074864,-0.070738,-0.024510,0.074864,1.000000,-0.000000,10.51,1
1,0.416,-3.970572,-0.024506,-3.970572,-0.024506,-3.898474,0.001311,,,,-0.072098,-0.025816,0.076581,1.000000,-0.000002,0.00,0
2,0.419,-3.970572,-0.024506,-3.970572,-0.024506,-3.897033,0.002746,,,,-0.073539,-0.027252,0.078426,1.000000,-0.000003,0.00,0
3,0.422,-3.970572,-0.024506,-3.970572,-0.024506,-3.895580,0.004206,,,,-0.074992,-0.028712,0.080300,1.000000,-0.000003,0.00,0
4,0.424,-3.970572,-0.024506,-3.970572,-0.024506,-3.894128,0.005668,,,,-0.076444,-0.030174,0.082183,1.000000,-0.000002,0.00,0
5,0.428,-3.970572,-0.024506,-3.970572,-0.024506,-3.892678,0.007126,,,,-0.077894,-0.031632,0.084071,1.000000,-0.000002,0.00,0
6,0.430,-3.970572,-0.024506,-3.970572,-0.024506,-3.891230,0.008581,,,,-0.079342,-0.033087,0.085964,1.000000,-0.000002,0.00,0
7,0.431,-3.970572,-0.024506,-3.970572,-0.024506,-3.889784,0.010033,,,,-0.080788,-0.034539,0.087861,1.000000,-0.000002,0.00,0
8,0.435,-3.970572,-0.024506,-3.970572,-0.024506,-3.888339,0.011482,,,,-0.082233,-0.035988,0.089763,1.000000,-0.000002,0.00,0
9,0.438,-3.970572,-0.024506,-3.970572,-0.024506,-3.886895,0.012930,,,,-0.083677,-0.037435,0.091669,1.000000,-0.000002,0.00,0
10,0.440,-3.970572,-0.024506,-3.970572,-0.024506,-3.885452,0.014376,,,,-0.085120,-0.038881,0.093580,1.000000,-0.000002,0.00,0
11,0.444,-3.970572,-0.024506,-3.970572,-0.024506,-3.884009,0.015820,,,,-0.086563,-0.040326,0.095495,1.000000,-0.000001,0.00,0
12,0.446,-3.970572,-0.024506,-3.970572,-0.024506,-3.882567,0.017264,,,,-0.088005,-0.041769,0.097414,1.000000,-0.000001,0.00,0
13,0.450,-3.970572,-0.024506,-3.970572,-0.024506,-3.881126,0.018707,,,,-0.089446,-0.043212,0.099337,1.000000,-0.000001,0.00,0
14,0.454,-3.970572,-0.024506,-3.970572,-0.024506,-3.879685,0.020149,,,,-0.090887,-0.044654,0.101265,1.000000,-0.000001,0.00,0
15,0.467,-3.957465,-0.014531,-3.944358,-0.004556,-3.878244,0.021591,-0.079221,-0.036121,0.087068,-0.066115,-0.026147,0.071097,1.000000,-0.000001,10.08,1
16,0.468,-3.957465,-0.014531,-3.957465,-0.014531,-3.876803,0.023032,,,,-0.080662,-0.037563,0.088980,1.000000,-0.000001,0.00,0
17,0.472,-3.957465,-0.014531,-3.957465,-0.014531,-3.875362,0.024473,,,,-0.082103,-0.039004,0.090897,1.000000,-0.000001,0.00,0
18,0.475,-3.957465,-0.014531,-3.957465,-0.014531,-3.873922,0.025914,,,,-0.083543,-0.040445,0.092818,1.000000,-0.000001,0.00,0
